,Unnamed: 0,dial_id,turn_id,role,utterance,topic_id,segmentation_label,da
11026,11026,dialseg711_dial_400,8,agent,"Of course. The address I have is Kingfisher way, Hinchinbrook business park, Huntingdon. Their phone number is 01480446000. Would you like me to book your stay?",0,1,
3841,3841,dialseg711_dial_136,11,user,I am looking for an expensive place to dine in the north.,3,0,
9490,9490,dialseg711_dial_342,17,user,Redwood City,3,0,
10599,10599,dialseg711_dial_384,18,agent,"It is all booked, reference number is S3Q9J1KJ",4,0,
15443,15443,dialseg711_dial_566,5,user,When should I expect it?,0,0,
7891,7891,dialseg711_dial_285,7,user,What's the traffic like?,1,0,
11109,11109,dialseg711_dial_402,33,user,"Yes, I'd like the route nearest me with no heavy traffic",4,0,
11769,11769,dialseg711_dial_427,22,agent,"Yes, there are 3 that cost 16.60 pounds. You could leave at 5:39 if you'd like. Can I book that for you?",2,1,
18844,18844,dialseg711_dial_692,1,user,I am hurt and need to find the nearest hospital. Can you help me?,0,0,
7441,7441,dialseg711_dial_268,5,user,"Yes, please. Do either have free wifi?",0,0,
16821,16821,dialseg711_dial_616,16,agent,WHich price range do you want? I have expensive and moderate.,3,0,
17389,17389,dialseg711_dial_638,6,agent,"The hospital is located at Hills Rd, Cambridge, Postcode: CB20QQ. Do you need further assistance?",0,1,
19067,19067,dialseg711_dial_700,9,user,"Please put me in touch with the local police, I was just robbed.",2,0,
15273,15273,dialseg711_dial_560,4,agent,I have booked a taxi departing from golden house and arriving at cherry hinton water play at 10:00. It will be a grey volkswagen. Contact number: 07227441895.,0,1,
11988,11988,dialseg711_dial_436,18,agent,"I'm sorry, could you make sure the taxi is actually leaving after 3:15? I made an error earlier.",2,0,
13941,13941,dialseg711_dial_512,22,agent,"Alright, and now I'll just need to know a time you either would like to arrive by or leave after please",3,0,
14849,14849,dialseg711_dial_544,19,user,I am leaving on Sunday and need to arrive by 13:00,3,0,
4898,4898,dialseg711_dial_173,2,agent,"The closest coffee shop is Startbucks found at 792 Bedoin Street. It is 2 miles away, but there is a car collision nearby",0,1,
1865,1865,dialseg711_dial_064,1,user,"Quick, find a hospital for me!",0,0,
16290,16290,dialseg711_dial_599,12,agent,Booking was successful. Reference number is : KRJNYV0Q.,1,0,
11095,11095,dialseg711_dial_402,19,user,Where can I find directions to Addenbrookes Hospital?,2,0,
16636,16636,dialseg711_dial_609,20,agent,We have 3 options in Cambridge for expensive gastropub food. Would you prefer a place in the centre or in the east?,3,0,
6320,6320,dialseg711_dial_224,34,agent,"So, is that all you needed today?",3,1,
3720,3720,dialseg711_dial_131,26,agent,During the next week it's not gonna be foggy in Danville.,4,0,
19202,19202,dialseg711_dial_705,18,agent,No problem! Where are you departing from?,3,0,
11518,11518,dialseg711_dial_418,5,user,"Yes, I'll also need their address please.",1,0,
13786,13786,dialseg711_dial_506,17,user,Know anywhere that has european food?,2,0,
8331,8331,dialseg711_dial_300,7,user,"Yes, I was wondering what the location is of Addenbrookes Hospital.",1,0,
17033,17033,dialseg711_dial_624,32,agent,Would you like the address for the restaurant?,3,1,
14511,14511,dialseg711_dial_532,13,user,Sorry. I want to leave on Saturday after 20:30.,2,0,
8132,8132,dialseg711_dial_293,2,agent,We have 14 places that are moderately priced with parking. Do you want any particular area?,0,0,
10950,10950,dialseg711_dial_397,22,agent,It looks like there is a road block being reported on the route but I will still find the quickest route to 550 Alester Ave.,2,1,
2074,2074,dialseg711_dial_071,3,user,Tell me more about the anthropology museum please.,0,0,
8213,8213,dialseg711_dial_296,4,agent,Their postcode is CB20QQ and phone number is 01223245151. Can I help with anything else?,0,0,
10549,10549,dialseg711_dial_382,13,user,"Yes, hi. Can you help me locate a cinema.",2,0,
2966,2966,dialseg711_dial_103,10,agent,Thank you,1,0,
1017,1017,dialseg711_dial_035,10,agent,I've booked your reservation. Is there anything else you need?,0,0,
427,427,dialseg711_dial_015,4,agent,"To help narrow down the choices, what time would you like to depart at?",0,0,
2510,2510,dialseg711_dial_087,7,user,I am looking for a place to stay. The hotel doesn't need to have free parking and should be in the moderate price range,2,0,
11987,11987,dialseg711_dial_436,17,user,I have booked a taxi for you! The car is a yellow honda. The contact number is 07799036655. Is there anything else you need today?,2,0,
14308,14308,dialseg711_dial_525,6,agent,"All three are located on the north side. Do you have a price range you'd prefer? The Golden Wok is moderately priced, while the others are expensive.",1,0,
10622,10622,dialseg711_dial_385,23,user,I have one leaving Cambridge at 17:36 and arriving in Norwich at 18:55. Would you like to book it?,4,0,
5517,5517,dialseg711_dial_196,4,agent,What time do you want to depart?,0,0,
1531,1531,dialseg711_dial_052,10,agent,There are many trains available. Where will you be departing from?,1,0,
2556,2556,dialseg711_dial_089,2,agent,"Certainly, the number to the Intensive Care Unit is 01223256166.",0,0,
12988,12988,dialseg711_dial_476,19,user,"Before we continue, can you check if the Acorn Guest House has a star of 4 or not?",4,0,
17885,17885,dialseg711_dial_657,20,agent,Sure! when would you like to arrive?,3,0,
13659,13659,dialseg711_dial_501,20,agent,I can help you with that. When do you need to leave?,2,0,
6070,6070,dialseg711_dial_215,4,agent,"Sure thing, when would you like to arrive or leave by?",1,0,
18409,18409,dialseg711_dial_676,18,agent,"I'm sorry to hear about your injury. Addenbrookes Hospital is where you'll want to go, Telephone : 01223245151, Address Hills Rd, Cambridge, Postcode CB20QQ.",3,1,
4466,4466,dialseg711_dial_157,21,user,I'm looking for a place to stay. I would like for it to be a 4 star guesthouse.,3,0,
4083,4083,dialseg711_dial_144,28,agent,"I'm sorry the Alpha-Minton doesn't have free wifi. I booked you into the Avalon starting Saturday, which you wanted.",2,0,
15950,15950,dialseg711_dial_584,18,agent,"I am very sorry there are no results for entertainment in the centre area, would you like to try another area or different attraction?",3,0,
8111,8111,dialseg711_dial_292,21,user,I would like to arrive in Cambridge by 8:15.,2,0,
14284,14284,dialseg711_dial_524,1,user,What do we have to eat in the expensive european food range?,0,0,
13942,13942,dialseg711_dial_512,23,user,The taxi should arrive by 20:00 and please also let me know what type of car will pick me up and give me the contact number of the driver.,3,0,
12096,12096,dialseg711_dial_440,30,agent,Thank you again! Is there anything else I could help you with?,4,0,
2418,2418,dialseg711_dial_083,13,user,I'd like a train to London Liverpool Street that leaves after 10:00.,2,0,
10703,10703,dialseg711_dial_388,25,user,Is it a 4 star place?,4,0,
692,692,dialseg711_dial_024,4,agent,"Drizzle is predicted in grand rapids, followed by clear skies",0,1,
14519,14519,dialseg711_dial_532,21,user,Okay try 18:00 instead.,3,0,
15540,15540,dialseg711_dial_569,20,agent,"Yes, please pick a quick route to go there and send it on my screen!",4,0,
11078,11078,dialseg711_dial_402,2,agent,"Addenbrookes Hospital is located at Hills Rd, Cambridge. Is there a particular department you're looking for?",0,0,
14751,14751,dialseg711_dial_540,5,user,book TR6334 and get me the train ID please,0,0,
1063,1063,dialseg711_dial_036,14,agent,"Ah, no, you will need another train to get to Stevenage. TR5390 leaves at 05:21 and TR3889 leaves at 07:21. Do you have a preference?",3,0,
443,443,dialseg711_dial_015,20,agent,They both have none.,2,0,
12067,12067,dialseg711_dial_440,1,user,I need to book a taxi from warkworth house.,0,0,
100,100,dialseg711_dial_003,23,user,I am looking for a train to Cambridge.,3,0,
16831,16831,dialseg711_dial_616,26,agent,"Booking was successful, the total fee is 18.88 GBP payable at the station . Reference number is : DDYPIE2S.",4,0,
167,167,dialseg711_dial_005,26,agent,Can I assist you with anything else today?,3,0,
9776,9776,dialseg711_dial_353,1,user,"Car I need a parking garage in the shortest distance, please help me!",0,0,
2888,2888,dialseg711_dial_100,10,agent,"Their address is Parkside, Cambridge postcode CB11JG. Can I assist you further?",1,1,
1242,1242,dialseg711_dial_042,19,user,Book me a taxi to vue cinema,3,0,
18784,18784,dialseg711_dial_689,27,user,Are they any closer options?,3,0,
4391,4391,dialseg711_dial_154,25,user,"That sounds nice. Can you give me their address, postcode, and phone number, please?",3,0,
6597,6597,dialseg711_dial_236,17,user,"I'm sorry, I'm going to tenpin.",2,0,
6308,6308,dialseg711_dial_224,22,agent,"Yes, the alexander bread and breakfast is a 4 star guesthouse in the centre. Would you like me to book you a room?",2,0,
13075,13075,dialseg711_dial_479,30,agent,The location is at Market Hill City Centre cb23nj the phone number is 01223352607. Is there anything else I can help you with?,3,0,
15281,15281,dialseg711_dial_560,12,agent,It will be 88 minutes and the price is 16.60 pounds. Shall I book a ticket?,1,0,
14740,14740,dialseg711_dial_539,20,agent,P.F. Changs is located at 669 El Camino Real.,3,0,
12521,12521,dialseg711_dial_457,12,agent,12:21 and time is 105 minutes. May I hemp with anything else ?,1,0,
18232,18232,dialseg711_dial_669,15,user,Do you have anything else closer to the centre of town? Or perhaps a theater?,3,0,
5114,5114,dialseg711_dial_181,17,user,I'm trying to find a cheap Asian restaurant to have dinner at tonight. What kind of options are available for me?,3,0,
16419,16419,dialseg711_dial_603,11,user,"No, that is all the information that I needed. Thank you for your time.",0,0,
3127,3127,dialseg711_dial_110,2,agent,Okay I can help you with that. What area would you like to stay in?,0,0,
603,603,dialseg711_dial_020,30,agent,"Yes, I need the entrance fee and phone number?",4,0,
3653,3653,dialseg711_dial_129,5,user,I will be departing from rajmahal.,1,0,
9087,9087,dialseg711_dial_327,20,agent,"Okay, could you tell me where you would like to depart from?",3,0,
14717,14717,dialseg711_dial_538,35,user,"Yes, I hope so. Are there any Chinese restaurants toward the east end of town?",4,0,
17521,17521,dialseg711_dial_642,30,agent,OK I have that booked the reference number is EBZIPGV2.,3,0,
4824,4824,dialseg711_dial_170,6,agent,"452 Arcadia Pl, I highlighted it on your map",0,1,
12287,12287,dialseg711_dial_447,37,user,Okay great. That is all I need to know.,4,0,
3867,3867,dialseg711_dial_137,21,user,Do they have internet?,3,0,
618,618,dialseg711_dial_021,14,agent,"Yes, there is free internet provided. Would you like me to book a room?",1,0,
3330,3330,dialseg711_dial_116,26,agent,"There are 29 places with free internet and parking. Do you have an area, price, star, or hotel type preference?",4,0,
1849,1849,dialseg711_dial_063,7,user,Do you have information about the Lovell Lodge?,1,0,
9760,9760,dialseg711_dial_352,17,user,I need to get there by 17:45.,2,0,
11058,11058,dialseg711_dial_401,8,agent,"Unfortunately, the only train I have matching your criteria is one leaving 23:59 and arriving at 01:27 in the morning. Did you want to book that?",1,0,
9577,9577,dialseg711_dial_345,24,agent,"There is no traffic at all, I sent its position and the route to follow on your screen",3,1,
2679,2679,dialseg711_dial_093,3,user,"I don't really have a price range. Anything is fine. I would like it to have free parking and wifi, though. And of course, 4 stars like I mentioned.",0,0,
18099,18099,dialseg711_dial_664,16,agent,You also. Let us know if we can assist you with anything more.,0,1,
5641,5641,dialseg711_dial_199,30,agent,I hop you enjoy your stay. Have a good day.,4,0,
2615,2615,dialseg711_dial_091,5,user,"Yes, that does work. Could you book it for 1 person please?",0,0,
17077,17077,dialseg711_dial_626,6,agent,Certainly. The contact number is 07590243712. Can I help you with anything else?,0,1,
453,453,dialseg711_dial_015,30,agent,We have several! Do you wish to stay in a certain part of town?,4,0,
3182,3182,dialseg711_dial_111,23,user,What about the postcode and the address?,2,0,
12938,12938,dialseg711_dial_474,23,user,i'm looking for some takeout chinese food,3,0,
9728,9728,dialseg711_dial_351,15,user,I could really use something to eat.,3,0,
9086,9086,dialseg711_dial_327,19,user,I need to book a taxi. I need it to arrive by 19:15 to go to park side pools.,3,0,
16656,16656,dialseg711_dial_610,12,agent,"Personally, I hear good things about the Acorn Guest House.",2,0,
1291,1291,dialseg711_dial_044,12,agent,"Booking was successful, the total fee is 19.6 GBP payable at the station. Reference number is : 4J73XCBG. Is there anything else I can help with?",2,1,
11905,11905,dialseg711_dial_433,19,user,Are there any Chinese places I can get to with no traffic within 5 miles of here?,3,0,
19104,19104,dialseg711_dial_701,24,agent,What area of town would you like?,4,0,
11249,11249,dialseg711_dial_408,2,agent,"Addenbrookes Hospital is located at Hills Rd, Cambridge. It has the department you're looking for. Would you like the phone number also?",0,0,
16095,16095,dialseg711_dial_591,15,user,Can you give me the train ID for the 10:24?,1,0,
12569,12569,dialseg711_dial_459,10,agent,Could you tell me when you would like to arrive at Rice House?,2,0,
18164,18164,dialseg711_dial_666,13,user,I am departing from frankie and bennys,2,0,
12977,12977,dialseg711_dial_476,8,agent,"There isn't any rain predicted in durham this week, but is should be stormy on thursday",1,1,
9589,9589,dialseg711_dial_346,4,agent,"In Grand Rapids, it will rain Monday with a low of 30F and high of 40F. It will also rain Tuesday, with a low of 70F and a high of 80F.",0,1,
659,659,dialseg711_dial_022,23,user,Could you start the booking on Saturday?,4,0,
3792,3792,dialseg711_dial_134,18,agent,"I can look that up, where would you like to leave from?",4,0,
8877,8877,dialseg711_dial_319,11,user,try there for three nights then give me the reference number,1,0,
9658,9658,dialseg711_dial_348,11,user,What is the date of my Nextt dentist appointment and who will be attending it?,2,0,
12698,12698,dialseg711_dial_464,18,agent,There will be no rain today in Seattle.,4,0,
8880,8880,dialseg711_dial_319,14,agent,What day do you need to check in?,1,0,
6649,6649,dialseg711_dial_238,9,user,Thank you. Can you book a taxi to take me there?,1,0,
2454,2454,dialseg711_dial_084,21,user,I need to know the agenda for my meeting as well as who is attending and the location.,4,0,
11596,11596,dialseg711_dial_420,19,user,How about 1 night starting from Saturday?,2,0,
11623,11623,dialseg711_dial_421,14,agent,Is there anything else I can help you with?,2,0,
14282,14282,dialseg711_dial_523,25,user,Area doesn't matter. Please choose your favorite and tell me the area and postcode and address if you could,4,0,
17274,17274,dialseg711_dial_633,14,agent,"It will be 90-100F Monday, 40-60F Tuesday, 70-80F Wednesday, 80-90F Thursday, 40-60F Friday, 60-80F Saturday, and 30-40F Sunday.",2,0,
2182,2182,dialseg711_dial_074,25,user,That should be perfect. How many tickets can I get?,3,0,
1940,1940,dialseg711_dial_066,29,user,No not really. But I would prefer a hotel and like both free wifi and parking if possible.,4,0,
17969,17969,dialseg711_dial_660,4,agent,"Then I suggest you Coupa, it's only 1 miles away and with no traffic on our way. Would you like me to set the navigation there?",0,0,
13270,13270,dialseg711_dial_488,11,user,Find out if it will drizzle today or tomorrow in downtown Chicago,1,0,
10003,10003,dialseg711_dial_362,14,agent,"Sure, the phone number is 01223812660.",2,0,
11653,11653,dialseg711_dial_422,16,agent,"Yes, which details would you like to have?",3,0,
17821,17821,dialseg711_dial_655,3,user,Do they both include free parking?,0,0,
18227,18227,dialseg711_dial_669,10,agent,There is Webster Garage 2 miles away with moderate traffic on our way,2,0,
14534,14534,dialseg711_dial_532,36,agent,"There is no availability at Arbury on Wednesday, unfortunately. Would you like to try a different hotel?",4,0,
1777,1777,dialseg711_dial_061,11,user,Thanks. Looking forward to it.,2,0,
10414,10414,dialseg711_dial_377,26,agent,"Where is your destination, please?",2,0,
12795,12795,dialseg711_dial_468,8,agent,"That really depends on traffic and route, you would have to call the taxi company to find out estimated drive times.",1,0,
7387,7387,dialseg711_dial_265,27,user,What part of town is the Ashley located?,2,0,
5187,5187,dialseg711_dial_184,6,agent,"No, Wednesday it will be hot in Redwood City",1,1,
8256,8256,dialseg711_dial_297,13,user,Could you help me find a cheap hotel in the center of town?,2,0,
18311,18311,dialseg711_dial_672,18,agent,There is gonna be dew in Mountain View on Saturday,1,1,
10911,10911,dialseg711_dial_396,17,user,saint barnabas press gallery please,2,0,
18408,18408,dialseg711_dial_676,17,user,"I need to find the closest hospital, I've been injured.",3,0,
14733,14733,dialseg711_dial_539,13,user,"I'm sorry for changing my mind again but cheap is fine. You had mentioned Autumn House. What is their address, please.",2,0,
7872,7872,dialseg711_dial_284,16,agent,"I would be happy to help with your request, first I'll need to know where you'll need picked up from.",2,0,
17166,17166,dialseg711_dial_629,16,agent,You'll be looking for a red Audi and the contact number is 07918620184. .,2,0,
8283,8283,dialseg711_dial_298,8,agent,Yes of course we can arrange a hostel that does not charge for wifi as extra. Do you have a brand in mind?,2,0,
2827,2827,dialseg711_dial_098,7,user,Please give me the address and directions via the quickest route to a coffee or tea place within 2 miles of here.,1,0,
15322,15322,dialseg711_dial_561,25,user,set reminder for laboratory request on this month on the 12th,3,1,
9602,9602,dialseg711_dial_346,17,user,I just need to arrive by 14:15.,2,0,
13059,13059,dialseg711_dial_479,14,agent,Where should I check for snow?,2,0,
1496,1496,dialseg711_dial_051,15,user,Thank you for you assistance!,1,0,
1572,1572,dialseg711_dial_053,21,user,I would like to leave after 3:45.,3,0,
8559,8559,dialseg711_dial_307,27,user,Is it moderately priced? Area actually doesn't matter as long as it is a 3 star moderately priced guest house,3,0,
2290,2290,dialseg711_dial_079,12,agent,Find me a chinese spot i could get to the quickest.,3,0,
12043,12043,dialseg711_dial_438,20,agent,"Yes, please book a table for 6 on Thursday.",4,0,
12950,12950,dialseg711_dial_474,35,user,Starting Friday for 4 nights. There will be 3 guests.,4,0,
19132,19132,dialseg711_dial_702,22,agent,The oak bistro is one of several restaurants that match your description. Would you like me to book a table there for that time?,3,0,
10217,10217,dialseg711_dial_370,10,agent,"Ok, what is your departure site?",2,0,
7259,7259,dialseg711_dial_260,23,user,I am looking for information on the town centre.,4,0,
6043,6043,dialseg711_dial_214,11,user,"Actually, I don't need a reservation right now, but could you give me the address and phone number for the Royal Spice?",1,0,
17315,17315,dialseg711_dial_634,21,user,I want to arrive by 10:45.,3,0,
8427,8427,dialseg711_dial_303,19,user,find the nearest chinese place on the map,3,0,
374,374,dialseg711_dial_013,15,user,I need to find a train going to Stansted Airport and departing on Thursday.,2,0,
590,590,dialseg711_dial_020,17,user,"The police station is located in Parkside, Cambridge, CB11JG",3,0,
3972,3972,dialseg711_dial_141,19,user,I want to leave on Sunday and arrive by 12:15.,3,0,
3286,3286,dialseg711_dial_115,12,agent,I really like the Riverboat Georgina. Do you need any information about something like this?,1,0,
15921,15921,dialseg711_dial_583,31,user,I would like to go to London Liverpool Street.,4,0,
3581,3581,dialseg711_dial_126,15,user,"Where is my meeting, which parties will be attending, and what is the meeting about?",3,0,
277,277,dialseg711_dial_009,22,agent,"Ok, what time do you want to leave.",4,0,
14041,14041,dialseg711_dial_516,8,agent,There are 33 hotels that satisfy your request are you looking for a specific area of town?,1,0,
8600,8600,dialseg711_dial_309,4,agent,What time would you like to leave by?,0,0,
7666,7666,dialseg711_dial_276,24,agent,yes.its within the moderate range,3,0,
8306,8306,dialseg711_dial_299,8,agent,How many tickets would you like?,0,0,
11076,11076,dialseg711_dial_401,26,agent,Your lab appointment is with your father on the 8th at 5 pm,4,0,
3632,3632,dialseg711_dial_128,12,agent,Your next yoga activity is on Tuesday at 7 pm.,1,1,
18172,18172,dialseg711_dial_666,21,user,Thanks.,3,0,
12843,12843,dialseg711_dial_471,2,agent,what city are you interested in?,0,0,
11188,11188,dialseg711_dial_406,1,user,I need the police please.,0,0,
3306,3306,dialseg711_dial_116,2,agent,There are two matching results for your needs. The Ashley Hotel and Lovell Lodge.,0,0,
7586,7586,dialseg711_dial_274,2,agent,There is no hotel listed that is near you.,0,0,
9464,9464,dialseg711_dial_341,19,user,"Yes, that would work. I need 3 tickets please.",3,0,
13155,13155,dialseg711_dial_483,16,agent,A table has been booked and will be held for 15 minutes. The reference number is 67II8018. May I help you with anything else?,2,1,
18502,18502,dialseg711_dial_679,33,user,I'm looking for cheap food in the centre.,4,0,
17899,17899,dialseg711_dial_657,34,agent,I was able to book you for three nights starting on Monday. Your reference number is Q8EDDUCC. Is there anything else I can help you with?,4,0,
8217,8217,dialseg711_dial_296,8,agent,You're welcome! Is there anything else we can help you with today?,0,1,
