,dial_id,turn_id,role,utterance,topic_id,segmentation_label,da
133,tiage_dial_010,2,agent,hello . how are you ? my pet turtle and i are sitting here .,0,0,
134,tiage_dial_010,3,user,my turtle and myself love to grill outside,0,1,
135,tiage_dial_010,4,agent,mommy says to pick up toys . i do not like to . i want to play dolls !,1,1,
136,tiage_dial_010,5,user,"yeah , i have been retired for a long time ! years !",2,0,
137,tiage_dial_010,6,agent,"i want to go next door and play with my best friend , not work !",2,0,
138,tiage_dial_010,7,user,"yeah i wanna gamble , i go gambling when time permits",2,0,
139,tiage_dial_010,8,agent,shame on you ! mommy says you should not gamble !,2,0,
140,tiage_dial_010,9,user,"she gambled on you , and did she get a bad kid ?",2,0,
141,tiage_dial_010,10,agent,no she did not ! i am telling my mommy on you !,2,0,
142,tiage_dial_010,11,user,tell her to get you to bed !,2,0,
143,tiage_dial_010,12,agent,but i want to play dollies with my best friend !,2,0,
144,tiage_dial_010,13,user,well i am not gonna play dollies with you !,2,0,
145,tiage_dial_010,14,agent,well i do not wanna play with you either !,2,0,
146,tiage_dial_010,15,user,good ! i hope you win the baby lottery !,2,0,
147,tiage_dial_010,16,user,i am sorry ! do not be mad at me !,2,1,
148,tiage_dial_011,1,user,"how are you ? i am tired of my parents bothering me , hoping to move out soon .",0,0,
149,tiage_dial_011,2,agent,i completely get it . my mom is way too traditional for me !,0,0,
150,tiage_dial_011,3,user,i never drink or use drugs . i am 19 and just want to see my friends .,0,0,
151,tiage_dial_011,4,agent,i understand . when do you think you might be able to move ?,0,1,
152,tiage_dial_011,5,user,not sure . i have a part time job at burger king . do you work ?,1,0,
153,tiage_dial_011,6,agent,i do . i coach swimming at the pool near my house .,1,0,
154,tiage_dial_011,7,user,awesome . my parents are just always on me about something . are you moving soon ?,1,0,
155,tiage_dial_011,8,agent,i am still in school . i cannot move until i finish my degree,1,1,
156,tiage_dial_011,9,user,that must be tough . what do you study ?,2,0,
157,tiage_dial_011,10,agent,i want to be a computer programmer . are you in school ?,2,0,
158,tiage_dial_011,11,user,"yes , i am studying education and working part time .",2,0,
159,tiage_dial_011,12,agent,that sounds interesting . do you like it ?,2,0,
160,tiage_dial_011,13,user,"yes , i love it . how are your courses ?",2,0,
161,tiage_dial_011,14,agent,they are great . i really like the challenge . what do you want to teach ?,2,0,
162,tiage_dial_011,15,user,i hope to teach elementary school . how much longer until you graduate ?,2,0,
163,tiage_dial_011,16,agent,three more years . i feel like i wil never get out . how about you ?,2,0,
164,tiage_dial_011,17,user,same for me ! looking forward to being done and out of my parents house !,2,0,
165,tiage_dial_011,18,user,"things are so strict . my family is from india , so they just do not get it .",2,1,
166,tiage_dial_012,1,user,hi . i am billy . i work as an electrician in texas,0,0,
167,tiage_dial_012,2,agent,"i very rarely speak to people billy , because i am so famous",0,0,
168,tiage_dial_012,3,user,really ? how ? i do a lot of work on my mom and dads farm .,0,0,
169,tiage_dial_012,4,agent,i am working on a robot so i can have company that does not annoy me .,0,0,
170,tiage_dial_012,5,user,the only company i have is my pet cow .,0,0,
171,tiage_dial_012,6,agent,i helped design starcraft . do you have time to play games without the cow,0,0,
172,tiage_dial_012,7,user,no usually . i live in the country . just drive my big truck and listen to country music .,0,0,
173,tiage_dial_012,8,agent,"i do twitch streaming for fun , so we do not have much in common do we ?",0,0,
174,tiage_dial_012,9,user,not much . i like pizza too !,0,0,
175,tiage_dial_012,10,agent,"i like pizza , one thing in common . i live inland because i am allergic to water",0,0,
176,tiage_dial_012,11,user,really ? i did not know that was possible ! how do you stay hydrated ?,0,1,
177,tiage_dial_012,12,agent,"very carefully , did you get flooded in texas ?",1,0,
178,tiage_dial_012,13,user,no . i live more north . near dallas .,1,0,
179,tiage_dial_012,14,user,"good ! i have not seen a person in 5 years , have my stuff delivered",1,1,
180,tiage_dial_013,1,user,hello . i love to read and my favorite books are the hunger games series . what about you ?,0,0,
181,tiage_dial_013,2,agent,"hi ! i am an olympic gymnast , i do not read much .",0,0,
182,tiage_dial_013,3,user,that is exciting and must allow you to travel alot . ever been to spain ?,0,0,
183,tiage_dial_013,4,agent,"yes , i have . i picked up a lovely yellow blouse there .",0,1,
184,tiage_dial_013,5,user,i hope to go back when i retire in a few years . how long before you retire ?,1,0,
185,tiage_dial_013,6,agent,i have another two years before i can retire from gymnastics .,1,0,
186,tiage_dial_013,7,user,what are your plans after retirement ?,1,0,
187,tiage_dial_013,8,agent,"i would like to go to culinary school , i am still young .",1,0,
188,tiage_dial_013,9,user,i love to cook for my grandkids . i plan to travel more .,1,0,
189,tiage_dial_013,10,agent,"i mainly cook italian , and garlic bread .",1,0,
190,tiage_dial_013,11,user,i would love to travel to italy . i love baking cookies .,1,0,
191,tiage_dial_013,12,agent,"i would love to be a pastry chef , i make earl grey shortbread a lot .",1,0,
192,tiage_dial_013,13,user,i have never had earl grey shortbread only the tea .,1,0,
193,tiage_dial_013,14,user,i put it in the shortbread .,1,1,
194,tiage_dial_014,1,user,hello ! i was three when i learned to play guitar !,0,0,
195,tiage_dial_014,2,agent,hi i enjoy disney world and go every year,0,0,
196,tiage_dial_014,3,user,that is great . i really like rascal flats . i think they played there before .,0,0,
197,tiage_dial_014,4,agent,that is a good band . i love mickey mouse,0,0,
198,tiage_dial_014,5,user,i actually grew up in the entertainment industry .,0,0,
199,tiage_dial_014,6,agent,i am also in the 3rd grade,0,1,
200,tiage_dial_014,7,user,wow . do you like national parks ? my family and i spent summers there .,1,0,
201,tiage_dial_014,8,agent,"no , i never have been . i like to go to the playground with friends",1,1,
202,tiage_dial_014,9,user,i enjoyed that when was younger too . what is your family like ?,2,0,
203,tiage_dial_014,10,agent,i also like frozen the movie and sing a long with it .,2,0,
204,tiage_dial_014,11,user,great ! i like music too and that is why i play guitar .,2,0,
205,tiage_dial_014,12,agent,that is awesome to hear !,2,1,
206,tiage_dial_014,13,user,do you have a dog or cat ?,3,0,
207,tiage_dial_014,14,agent,"no , mom said i cannot have pets when i have my own place i can .",3,1,
208,tiage_dial_014,15,user,do you have any brothers or sisters ?,4,0,
209,tiage_dial_014,16,user,i have a sister who is 10 years older than me,4,1,
210,tiage_dial_015,1,user,"hello , i am sitting here with my dog . how are you ?",0,0,
211,tiage_dial_015,2,agent,i am well friend . looking for new employment at the moment .,0,0,
212,tiage_dial_015,3,user,what would be your dream job ?,0,0,
213,tiage_dial_015,4,agent,a writer . i am currently an er doctor .,0,0,
214,tiage_dial_015,5,user,what was the worst accident you have seen in the er ?,0,0,
215,tiage_dial_015,6,agent,a man had his throat slit in a home invasion,0,0,
216,tiage_dial_015,7,user,that is very scary . i would rather stick to my knitting passion .,0,1,
217,tiage_dial_015,8,agent,i have a daughter who people say is a child prodigy,1,0,
218,tiage_dial_015,9,user,what talents does she have ?,1,0,
219,tiage_dial_015,10,agent,math ! i hate it ! lol . do you have children ?,1,0,
220,tiage_dial_015,11,user,i have two children . they also enjoy math .,1,1,
221,tiage_dial_015,12,agent,that is nice . what is your favorite movie ?,2,0,
222,tiage_dial_015,13,user,my favorite movie is clueless .,2,0,
223,tiage_dial_015,14,agent,mine is friday ! although i do love clueless too !,2,0,
224,tiage_dial_015,15,user,do you think they will make another friday movie ?,2,0,
225,tiage_dial_015,16,user,oh i hope so ! that would be awesome .,2,1,
226,tiage_dial_016,1,user,hey how are you today,0,0,
227,tiage_dial_016,2,agent,i am busy studying psychology for my graduate school class . you ?,0,0,
228,tiage_dial_016,3,user,i have retired and now spend my time as a pro gambler,0,0,
229,tiage_dial_016,4,agent,sounds cool ! i could be your dog walker when you are busy .,0,0,
230,tiage_dial_016,5,user,well being retired i have a lot of spare time either in a casino or outdoors,0,0,
231,tiage_dial_016,6,agent,i love the outdoors . i can survive in the wilderness for weeks,0,0,
232,tiage_dial_016,7,user,yeah me to just got back from two weeks in the bush,0,0,
233,tiage_dial_016,8,agent,did your parents teach you to survive like mine did ?,0,0,
234,tiage_dial_016,9,user,my dad did he has his own outdoor show its possible you have seen it,0,0,
235,tiage_dial_016,10,agent,i may have . what is it called ?,0,0,
236,tiage_dial_016,11,user,jim shockey he has survived in places all over the world,0,0,
237,tiage_dial_016,12,agent,i love that show ! i watch it between studying .,0,0,
238,tiage_dial_016,13,user,yeah did not get to see him much as a child,0,0,
239,tiage_dial_016,14,agent,that must have been hard . my parents were always hiking with me .,0,0,
240,tiage_dial_016,15,user,that is nice must have been fun,0,0,
241,tiage_dial_016,16,user,it was fun . probably why i became a dog walker,0,1,
242,tiage_dial_017,1,user,"hello there , how are you today ?",0,0,
243,tiage_dial_017,2,agent,hello ! how has your day been ?,0,0,
244,tiage_dial_017,3,user,great so far preparing my kindergarten lesson for tomorrow .,0,1,
245,tiage_dial_017,4,agent,i only eat kosher foods,1,0,
246,tiage_dial_017,5,user,what is your favorite ? i eat out alot with friends and some love kosher also .,1,0,
247,tiage_dial_017,6,agent,i like kosher salt a lot,1,0,
248,tiage_dial_017,7,user,"no salt for me , at 24 i need to establish a healthy eating lifestyle .",1,0,
249,tiage_dial_017,8,agent,i like kosher salt more then regular salt,1,0,
250,tiage_dial_017,9,user,i am slimming down to fit into a wedding dress in spring so salt is out .,1,0,
251,tiage_dial_017,10,agent,you must be a hot milf,1,1,
252,tiage_dial_017,11,user,"ha , ha , ha . . . to young for milf . what type of music do you like ?",2,0,
253,tiage_dial_017,12,agent,i like your music a lot,2,0,
254,tiage_dial_017,13,user,so you are a big taylor swift fan as i am ?,2,0,
255,tiage_dial_017,14,agent,i love my girl taylor,2,0,
256,tiage_dial_017,15,user,"yes she is a1 with her stuff , i love her new album . .",2,0,
257,tiage_dial_017,16,user,i know i love you too,2,1,
258,tiage_dial_018,1,user,"hi , kevin here . i love mexican food , aerosmith and nascar racing and a construction worker .",0,0,
259,tiage_dial_018,2,agent,i am a recording engineer myself . currently living in california,0,0,
260,tiage_dial_018,3,user,great ! i wear a yellow construction worker hat to aerosmith concerts .,0,0,
261,tiage_dial_018,4,agent,that sounds fun . i would rather be inside though .,0,1,
262,tiage_dial_018,5,user,wow ! what artists you work with ? i started working at sixteen as a construction model .,1,0,
263,tiage_dial_018,6,agent,no one you know probably . the market was dead last year unfortunately .,1,1,
264,tiage_dial_018,7,user,oh okay . you like car racing ? i do . i also like mexican pizza .,2,0,
265,tiage_dial_018,8,agent,i love car racing . i am not crazy about lawyers though .,2,0,
266,tiage_dial_018,9,user,me too ! i wear a yellow construction hat and my dad is a lawyer . bummer huh ?,2,0,
267,tiage_dial_018,10,agent,maybe he is the one that my ex left me for .,2,0,
268,tiage_dial_018,11,user,oh wow . does your ex like aerosmith ? my dad and i do ?,2,0,
269,tiage_dial_018,12,agent,i do not think so . i own my own studio and she tried to take it .,2,0,
270,tiage_dial_018,13,user,bummer ! does your ex like mexican food and fast cars ? she could be my stepmom .,2,0,
271,tiage_dial_018,14,agent,no she likes lies and cheating . lol,2,0,
272,tiage_dial_018,15,user,funny . you think your ex would like construction workers ?,2,0,
273,tiage_dial_018,16,user,"i am 46 with kids , maybe she did not like that .",2,1,
274,tiage_dial_019,1,user,hello . my name is rob . how are you today ?,0,0,
275,tiage_dial_019,2,agent,my name is kelly . i am well . how are you ?,0,0,
276,tiage_dial_019,3,user,i am sad today remembering my mom who died when i was a child .,0,0,
277,tiage_dial_019,4,agent,i am so sorry to hear that . my father also passed away . he drove for nascar .,0,0,
278,tiage_dial_019,5,user,sorry to hear that . my dad is an army soldier .,0,0,
279,tiage_dial_019,6,agent,i thank him for his service .,0,1,
280,tiage_dial_019,7,user,thank you for saying that . what do you do for fun ?,1,0,
281,tiage_dial_019,8,agent,i play with my german shepherd named barnaby . he is my baby .,1,0,
282,tiage_dial_019,9,user,i love dogs . i play softball and i love it !,1,1,
283,tiage_dial_019,10,agent,i played softball years ago . i am too busy working for the us postal service .,2,0,
284,tiage_dial_019,11,user,that is a good job . i work in insurance . it also keeps me busy .,2,1,
285,tiage_dial_019,12,agent,i live in the southwest and i am deathly afraid of scorpions . not a good mix .,3,0,
286,tiage_dial_019,13,user,that sounds like quite the predicament .,3,0,
287,tiage_dial_019,14,agent,it is . i do like it here aside from that .,3,1,
288,tiage_dial_019,15,user,how is the weather there today ? it is cloudy and cool here in boston .,4,0,
289,tiage_dial_019,16,user,it is hot . but thankfully not humid today .,4,1,
290,tiage_dial_020,1,user,"hello , how are you doing ?",0,0,
291,tiage_dial_020,2,agent,"hello . pretty good , thanks . and yourself ?",0,0,
292,tiage_dial_020,3,user,"awesome , i just got back from a bike ride .",0,0,
293,tiage_dial_020,4,agent,cool ! do you spend a lot of time biking ?,0,0,
294,tiage_dial_020,5,user,yup . its my favorite thing to do . do you ?,0,0,
295,tiage_dial_020,6,agent,i love playing folk music . i actually hope to be a professional musician someday,0,0,
296,tiage_dial_020,7,user,that is interesting . what instruments do you play ?,0,0,
297,tiage_dial_020,8,agent,i can play the guitar and the piano and i also like to sing .,0,0,
298,tiage_dial_020,9,user,"i can only sing when i drink , but i do not like to do that anymore .",0,1,
299,tiage_dial_020,10,agent,i m not a big drinker either . do you have a job ?,1,0,
300,tiage_dial_020,11,user,"construction , like my dad . what do you do when you are not being a rock star",1,0,
301,tiage_dial_020,12,agent,nice ! i work as a custodian . not too glamorous but it pays the bills haha,1,0,
302,tiage_dial_020,13,user,i feel ya . you gotta do what you gotta do .,1,0,
303,tiage_dial_020,14,user,exactly . do you have other hobbies besides biking ?,1,1,
304,tiage_dial_021,1,user,hello ! where are you from ?,0,0,
305,tiage_dial_021,2,agent,hey ! i am from nyc what about you ?,0,0,
306,tiage_dial_021,3,user,i am from a town outside vancouver .,0,1,
307,tiage_dial_021,4,agent,so what brings you around here ? are you here for work ?,1,0,
308,tiage_dial_021,5,user,actually i am on leave right now,1,1,
309,tiage_dial_021,6,agent,oh okay . may i ask what your occupation is ?,2,0,
310,tiage_dial_021,7,user,"i serve in the canadian army , just as my grandfather did . how about you ?",2,0,
311,tiage_dial_021,8,agent,"i went to college for chemistry , but i actually work in a bookstore now .",2,0,
312,tiage_dial_021,9,user,oh that is cool . i do not like reading though,2,0,
313,tiage_dial_021,10,agent,i do not care for fashion as much as you dislike reading haha,2,0,
314,tiage_dial_021,11,user,i hate reading so much i dropped out of high school !,2,1,
315,tiage_dial_021,12,agent,must be a very strong dislike then . i actually have a strange disdain toward the color orange,3,0,
316,tiage_dial_021,13,user,why do you hate orange ?,3,0,
317,tiage_dial_021,14,agent,as a kid i was always bothered by this bright orange lamp my parents had,3,0,
318,tiage_dial_021,15,user,that sounds scary . i was scared by my grandfather telling wwii stories,3,0,
319,tiage_dial_021,16,user,oh man must have been traumatizing . what do you do to relieve stress ?,3,1,
320,tiage_dial_022,1,user,hello how are you doing ?,0,0,
321,tiage_dial_022,2,agent,"great , how are you doing today ?",0,1,
322,tiage_dial_022,3,user,i am great . what do you like to do ?,1,0,
323,tiage_dial_022,4,agent,watching horror movies is my favorite . how about you ?,1,0,
324,tiage_dial_022,5,user,i am more into comedies .,1,1,
325,tiage_dial_022,6,agent,i see . what do you do for work,2,0,
326,tiage_dial_022,7,user,i work at a bar . how about you ?,2,0,
327,tiage_dial_022,8,agent,"i used to work in hr , but now i stay home with my son .",2,1,
328,tiage_dial_022,9,user,that sounds very nice . how old is your kid ?,3,0,
329,tiage_dial_022,10,agent,he is in junior high . do you have any kids ?,3,0,
330,tiage_dial_022,11,user,i do not . i am still working on building my future .,3,1,
331,tiage_dial_022,12,agent,what do you want to do ?,4,0,
332,tiage_dial_022,13,user,i am not sure . i am still doing my gen eds .,4,0,
333,tiage_dial_022,14,user,that sounds nice . do you have any family line of work that you can get in to ?,4,1,
334,tiage_dial_023,1,user,hey there how is it going ?,0,0,
335,tiage_dial_023,2,agent,hello . all is moving great . and you ?,0,0,
336,tiage_dial_023,3,user,i am good just putting hair dye in,0,1,
337,tiage_dial_023,4,agent,"alright . i work in it . if you do not mind , what work are you into ?",1,0,
338,tiage_dial_023,5,user,oh right how i am between jobs,1,0,
339,tiage_dial_023,6,agent,the economic situation seem to be gradually picking up though,1,1,
340,tiage_dial_023,7,user,"cool , i am addicted to the internet",2,0,
341,tiage_dial_023,8,agent,"since you are addicted to internet , do you watch a lot of american sports ?",2,0,
342,tiage_dial_023,9,user,i play a lot of role playing games,2,1,
343,tiage_dial_023,10,agent,ok . do you like dogs ?,3,0,
344,tiage_dial_023,11,user,yeah dogs are pretty cool,3,1,
345,tiage_dial_023,12,agent,do you think that the internet is pretty safe for children of late ?,4,0,
346,tiage_dial_023,13,user,it can be but it ca be a danger too,4,1,
347,tiage_dial_023,14,agent,"ok . speaking about work , i have been at the same company for about 15 years",5,0,
348,tiage_dial_023,15,user,that is actually pretty impressive,5,0,
349,tiage_dial_023,16,user,i kind of wonder why employees are not keen on loyalty these days,5,1,
350,tiage_dial_024,1,user,"hello , what are you doing today ?",0,0,
351,tiage_dial_024,2,agent,i am thinking about my upcoming retirement . how about you ?,0,0,
352,tiage_dial_024,3,user,"just raising my kids , i am a homemaking dad .",0,0,
353,tiage_dial_024,4,agent,very cool . my kids are grown . i am already 60 years old .,0,0,
354,tiage_dial_024,5,user,i am not there yet . my oldest in a junior .,0,0,
355,tiage_dial_024,6,agent,how old is your youngest ?,0,1,
356,tiage_dial_024,7,user,she is 9 . i love them all . what work did you do before retiring ?,1,0,
357,tiage_dial_024,8,agent,"i work as a librarian , but i am going to retire in the next couple of years .",1,0,
358,tiage_dial_024,9,user,"that is great , i spent ten years in human services .",1,0,
359,tiage_dial_024,10,agent,did you stop when your eldest was born ?,1,0,
