dial_id,turn_start,turn_end,topic_ids,word_count,window_text,drift_label
tiage_dial_019,1,9,"[0, 1]",117,hello . my name is rob . how are you today ? my name is kelly . i am well . how are you ? i am sad today remembering my mom who died when i was a child . i am so sorry to hear that . my father also passed away . he drove for nascar . sorry to hear that . my dad is an army soldier . i thank him for his service . thank you for saying that . what do you do for fun ? i play with my german shepherd named barnaby . he is my baby . i love dogs . i play softball and i love it !,1
tiage_dial_019,10,16,"[2, 3, 4]",97,i played softball years ago . i am too busy working for the us postal service . that is a good job . i work in insurance . it also keeps me busy . i live in the southwest and i am deathly afraid of scorpions . not a good mix . that sounds like quite the predicament . it is . i do like it here aside from that . how is the weather there today ? it is cloudy and cool here in boston . it is hot . but thankfully not humid today .,1
tiage_dial_020,1,10,"[0, 1]",123,"hello , how are you doing ? hello . pretty good , thanks . and yourself ? awesome , i just got back from a bike ride . cool ! do you spend a lot of time biking ? yup . its my favorite thing to do . do you ? i love playing folk music . i actually hope to be a professional musician someday that is interesting . what instruments do you play ? i can play the guitar and the piano and i also like to sing . i can only sing when i drink , but i do not like to do that anymore . i m not a big drinker either . do you have a job ?",1
tiage_dial_020,11,14,[1],57,"construction , like my dad . what do you do when you are not being a rock star nice ! i work as a custodian . not too glamorous but it pays the bills haha i feel ya . you gotta do what you gotta do . exactly . do you have other hobbies besides biking ?",1
tiage_dial_021,1,11,"[0, 1, 2]",125,"hello ! where are you from ? hey ! i am from nyc what about you ? i am from a town outside vancouver . so what brings you around here ? are you here for work ? actually i am on leave right now oh okay . may i ask what your occupation is ? i serve in the canadian army , just as my grandfather did . how about you ? i went to college for chemistry , but i actually work in a bookstore now . oh that is cool . i do not like reading though i do not care for fashion as much as you dislike reading haha i hate reading so much i dropped out of high school !",1
tiage_dial_021,12,16,[3],67,must be a very strong dislike then . i actually have a strange disdain toward the color orange why do you hate orange ? as a kid i was always bothered by this bright orange lamp my parents had that sounds scary . i was scared by my grandfather telling wwii stories oh man must have been traumatizing . what do you do to relieve stress ?,1
tiage_dial_022,1,12,"[0, 1, 2, 3, 4]",120,"hello how are you doing ? great , how are you doing today ? i am great . what do you like to do ? watching horror movies is my favorite . how about you ? i am more into comedies . i see . what do you do for work i work at a bar . how about you ? i used to work in hr , but now i stay home with my son . that sounds very nice . how old is your kid ? he is in junior high . do you have any kids ? i do not . i am still working on building my future . what do you want to do ?",1
tiage_dial_022,13,14,[4],32,i am not sure . i am still doing my gen eds . that sounds nice . do you have any family line of work that you can get in to ?,1
tiage_dial_023,1,12,"[0, 1, 2, 3, 4]",119,"hey there how is it going ? hello . all is moving great . and you ? i am good just putting hair dye in alright . i work in it . if you do not mind , what work are you into ? oh right how i am between jobs the economic situation seem to be gradually picking up though cool , i am addicted to the internet since you are addicted to internet , do you watch a lot of american sports ? i play a lot of role playing games ok . do you like dogs ? yeah dogs are pretty cool do you think that the internet is pretty safe for children of late ?",1
tiage_dial_023,13,16,"[4, 5]",45,"it can be but it ca be a danger too ok . speaking about work , i have been at the same company for about 15 years that is actually pretty impressive i kind of wonder why employees are not keen on loyalty these days",1
tiage_dial_024,1,10,"[0, 1]",121,"hello , what are you doing today ? i am thinking about my upcoming retirement . how about you ? just raising my kids , i am a homemaking dad . very cool . my kids are grown . i am already 60 years old . i am not there yet . my oldest in a junior . how old is your youngest ? she is 9 . i love them all . what work did you do before retiring ? i work as a librarian , but i am going to retire in the next couple of years . that is great , i spent ten years in human services . did you stop when your eldest was born ?",1
tiage_dial_024,11,16,"[1, 2, 3]",68,"yes , i had to . i am glad to be home . my father helps out too . why did you have to ? children need love , and my wife makes more money . do your children like any interesting activities ? no , we just go to home depot on the weekends . my father was manager there . do you like to travel ?",1
tiage_dial_025,1,8,"[0, 1]",120,"hello . do you know of any apartments for rent ? hi there . hmm i am not familiar with any . which area are you looking ? jacksonville . i work at burger king and do not use drugs if that helps . maybe you can expand your options if you find another career . i am only 19 . just graduated . congratulations . i work in construction , started when i was 16 . it is great money . that is cool . my friends and i work here , we are hoping to buy our own franchise . wow that is ambitious . i hope you succeed . personally i prefer mexican food over burgers .",1
tiage_dial_025,9,14,"[1, 2, 3]",81,"i prefer seafood . my dad makes awesome fish tacos . that sounds delicious . what type of music do you like ? metal . mainly metallica . i also love old school rap . tupac is where it is at . nice . i listen to a lot of aerosmith , they are my favorite . i like them too . dream on is one of my favorites great song . how long have you worked for burger king ?",1
tiage_dial_026,1,11,"[0, 1, 2]",121,"hello , my name is ally and my favourite color is orange do you know the game starcraft ? i helped designing it ! that s awesome , i m sure my ex boyfriend would like that game i usually stream the game on my twitch channel that s great , i also love twitch as well i am making this robot right now that looks like me ! i like hiking in the morning before sunset i am kind of a nerd , i do not go out much and do not socialize . that s not bad at all the worst part about my life is that i am allergic to water that s sad how do you drink",1
tiage_dial_026,12,16,"[2, 3]",57,"i have to drink another substance that contains particles of hydrogen and oxygen dang that kinda weird . well do you have a pet yeah i have a cat , how about you ? i do a pet fish that sounds awesome , but i have to go now , gotta start streaming . see ya !",1
tiage_dial_027,1,9,[0],113,"hello , how are you tonight ? what state are you ? i am in california , age 46 i am in ohio . 42 . single and a churchgoer . you ? i am good , and you ? i stay home all day and i like it that sounds boring . my dog would drive me crazy if i tried that . i love to go to church too , it help me deal with my ex . . my ex is straight up crazy , there is no scripture that would help him . she cheated me and stay with a lawyer that is horrible . i am single .",0
tiage_dial_027,10,16,"[0, 1]",77,"it takes the power of god to change people , my kids are great yes , the goddess can change people . me too , i am a single dad , i do recordings in my studio that sounds like fun , what kind of music ? what do you do ? do you want to meet me ? i am sorry , i am too busy to date . i record soft rock and light jazz",1
tiage_dial_028,1,11,"[0, 1, 2]",123,"hi there ? hows it goin ? whatcha havin for lunch today ? i am going to have pizza after meditation me , burgers and fries every day . meditation , who ! whats that like ? it is like going to a peaceful place i am at peace just bein in my house with my boyfriend . anything else you like ? i used to like to talk not anymore ? not at all ? why not ? i have been silent for months now oh , i get it . buddhist monk , eh ? something like that . where do you live in my house , with my boyfriend . how come you can chat if you cant speak ?",1
tiage_dial_028,12,16,"[2, 3]",41,i am not allowed to vocalize ok . where do you live ? in a monastery ? i am thinking about it any other cool thoughts ? what do you think about when you meditate ? i wish for world peace,1
tiage_dial_029,1,8,"[0, 1, 2]",115,"hello ! how are you today ? i am good ! just finished working . you ? i am great ! i just got back from a walk with my dog ! how was work ? it was tiring . trying to get the fields harvested for winter . oh you are a farmer ? what do you grow ? winter is coming too soon ! we grow corn and soybeans at my parents farm . what dog do you have ? he is a black lab named is trooper , he is a great hiking buddy ! cute ! where do you hike ? my pet will not travel . she is a cow",1
tiage_dial_029,9,16,[2],120,i hike in the mountains here in colorado near pueblo . are there mountains near you ? no i live in the middle of no where . miles of country . where is the middle of no where ? i live near denver for work . pennsylvania . amish country . i feel out of place driving my big truck next to buggies i would be afraid of hitting them with my car ! yeah . that is why i blast my country music . they hear me coming ! haha ! i like to listen to garth brookes when i am rock climbing at the gym ! oh wow ! i never did that before ! sounds fun !,1
tiage_dial_030,1,8,"[0, 1]",116,"i see you laughing there . you better not be laughing at my mini van . i would never do that . i hate my grey dog barnaby and scorpions . my fourth son hates scorpions too . i do not understand my children . keep trying . i like grey vans but a nascar car killed my daddy . sounds like he liked a glass of wine in the evenings . he does . barnaby is grey , a german shepherd and he hates scorpions too . kids these days . scorpions are the only thing i ever hear about while coaching . mom says we are going to sue nascar for killing daddy .",1
tiage_dial_030,9,16,"[1, 2]",124,"if you can you should go for it . toss me some coffee money when it comes through . sure , but you have to get in line . my grey dog barnaby is dying too . you know my fifth son keeps asking me for a dog . it is just too much . he can have mine . barnaby needs a new home . i have to decline , my fifth son is my least favorite ; we keep him in the attic . oh okay . does he play with scorpions or dogs ? our scorpion pit is located in the basement . great ! my dad died in a scorpion pit while driving a nascar car . you dance ?",1
tiage_dial_031,1,12,"[0, 1, 2, 3, 4]",119,"hello how are you today ? good you ? coloring my adult coloring book , do you like them ? no i think they are for whinny illiterate millennials well how rude of you . where do you live ? in nyc i work from my condo glad we do not live close . i am from a rural part of the u . s . , we farm . cars is what i spend everything on that is cool . do you like hockey ? i love it all those pucks i do too . especially nhl . have any pets ? i have dogs and cats i have one dog , he is a german shepherd .",1
tiage_dial_031,13,16,[5],29,"do you like fruits or veggies better ? fruits , what about you ? i really like oranges a lot they are decent ! my favorite is strawberries .",1
tiage_dial_032,1,12,[0],125,"hi how are we doing this late night in october ? i am great ! just been looking on twitter at news yes let us get to know each other bit that is cool . tell me about yourself ? i like to gamble on my spare nights not cool huh . depends if you win or not lol yes it sucks loosing i also enjoy lawn mowing on sunny days . i enjoy green living and just put solar panels on roof sounds interesting i also love grilling my food outdoors . yummy , i love cookouts . i am involved women rights movement that is good i have not been working for a few years . i work from home doing internet searches",0
tiage_dial_032,13,16,[0],38,great wished i could get a work at home job . it has its benefits . i have plenty time tend my organic garden that sounds interesting i like organic foods . they are so healthy for you,1
tiage_dial_033,1,11,[0],112,"hello , how are you doing tonight ? good , how are you tonight ? i am great , just chillin playing some guitar awesome , what are you playing ? hank williams . . . . i grew up on country music i like country too ! i am kinda tired tonight from a long day at the shipyard . oh yea ? what do you do there ? i am newly retired from the navy . i am a captain very cool . . . i sing for a living ! that is amazing ! living the dream huh ? yes , absolutely ! gonna make it big one day",0
tiage_dial_033,12,16,[0],51,"i hope you do ! my passion is making a difference in the world . that is amazing . we need more people like that ! do you volunteer with any charities sadly , no i do not i highly encourage you to , especially after you make it big !",1
tiage_dial_034,1,14,"[0, 1, 2, 3]",115,hi how are you i am doing well today do you like playing musical instruments ? i like the drums a lot i play several and my father played violin ! what else do you like ? i can tell you what i do not like what do you not like ? school . i really really do not like it i do not like school much either at least we are on the same page do you like volunteering anywhere in your city ? i do not like people i like people and exploring new places in the city . do you like animals ? i do . they are quiet and peaceful .,1
tiage_dial_034,15,16,[3],20,that is awesome . is there anything else you like or do not like ? i do not like people,1
tiage_dial_035,1,7,"[0, 1, 2]",112,"hello , call of duty is my favorite game . do you game ? yes i do after all i am a engineer . nice . my cousin is an engineer and hates video games . but i love donuts . i am actually a recording engineer . do you have kids ? so is my cousin , so cool ! no kids , but i do love icp , the band . oh ok . i am a single dad . and my recording artist died last year . bad luck ! wow , you ok ? did your artist use a ford pinto ? that is what i drive .",1
tiage_dial_035,8,16,"[2, 3, 4]",88,"i am fine . he just had a n accident here in california . i do live rpg events over the weekends . that is cool . i am 46 how about you ? i turn 83 in a month . . oh wow . are you retired ? no , i professionally stream on twitch . oh i have never heard of that . it is a streaming platform for gamers . oh ok , i guess i do not know much on the music side .",1
tiage_dial_036,1,14,"[0, 1, 2]",125,"hi lets get to know each other that sounds awfully familiar to me . do you enjoy sports much ? i football is the best . go alabama tide ! football is good . i prefer solo stuff . i am a gymnast i have a brother and 3 sisters are you guys close ? i am an only child no we are not , i am more closer to my dogs honestly too bad . but at least you have them , what breeds ? ok i will be sure too what kinds of dogs are they ? i already told that to you sorry i only see that you are close to them ok then . well its been nice chatting with you",1
tiage_dial_036,15,16,[2],17,"i guess you too . are you leaving now ? thought this was over , guess not",1
tiage_dial_037,1,11,"[0, 1, 2]",119,"hello ! how are you today ? my favorite type of music is from the south awesome ! i really like dancing to that kind of music , especially in the moonlight . i am the head worker of a small store very nice , what does your store sell ? my store sells everything you could possibly need ! great , are there weights ? i am strong for my age , but would like to get stronger there are weights for sure ! guess how old i am ! i am not sure ? how old are you ? ! ? i am 100 ! i feel like at this point , i might live forever .",1
tiage_dial_037,12,14,[3],33,"i have a very nice car ! it is a pathfinder by the company nissan ! nice , when did you get it ? i got it this year ! i love it",1
tiage_dial_038,1,10,"[0, 1, 2]",120,"hello friend , have you ever seen dog agility ? it is my favorite sport ! i have not it sounds interesting i compete at it , when i am not dancing cool ! my only pet is a cow are you a dairy farmer or something like that ? yes my parents are , i work for them cool . i do not care for fashion , but i do wear western clothes when i line dance i live line dancing to country music , that is all i listen too me too . i discovered my love for it while getting my degree in chemistry . cool ! i am always playing country in my big truck !",1
tiage_dial_038,11,16,[2],63,"it was the only station i could get in my laboratory , and now i am hooked lol chemistry seems like an interesting career . i would not know , i work at a book store now . cool , do you like to read ? love it . james joyce is my favorite author . awesome , i hardly ever read .",1
tiage_dial_039,1,9,"[0, 1, 2]",115,"hello how are you today ? exhausted ! i was out clubbing all weekend . my legs are tired from grinding . really i have not done that in years , i am just a lonely are you ok ? i know chemistry . i could make you an aspirin ! i am ok my husband is a doctor so i can get any medicine i want wow , good for him . i just work in a bookstore . . . oh wow that cool , you get free knowlege i majored in chemistry so i already have enough knowledge for a lifetime . really that is awesome do you have a girlfriend ?",1
tiage_dial_039,10,16,"[2, 3, 4]",97,"no . all of the girls here wear orange . i hate orange . do you want one ? i could leave my husband for you wow that is saucy . just one rule wear anything you want but orange things . that is my favorite color though , can you handle my three story mortgage i am already deep in student loans , so i do not care ! whats your average salary i need to know since my family grows about 15k . i spend most of that on weekend clubs and raves though .",1
tiage_dial_040,1,9,"[0, 1]",123,"hi , just got back from riding my horse ! you ? hey , i am in high school and i want to be a physical therapist . good for you ! i do some farming , so i might be calling you ! awesome ! i make all as in school so i could help you ! great , i hope you like music , i rock out when i work ! yes , i love music ! so we can definitely rock out . i have a couple horses , and they like to rock , too ! cool ! i am a homecoming queen that loves horses . you must be very popular and a good person , too .",1
tiage_dial_040,10,16,"[2, 3]",97,"yes , i set a goal to actually run a k this year too ! i get my exercise tending the farm ! i am sure you do ! i bet it is fun there ! come run a few laps here , it is quite a few acres ! i just might do that ! i want to achieve my goal of running a k ! i am sure you will succeed and win the race , too ! i hope so ! after i get out of high school i want to run more !",1
tiage_dial_041,1,8,"[0, 1, 2, 3, 4, 5]",115,"hello . my wife left with the kids two weeks ago . i understand because i have dogs too . i am an rn in a nursing home . we have dogs there . i hate dogs but love to knit its kind of my passion the ladies here knit , while watching the pastors on tv . i am an atheist . you are just scared of dying like me . that is why only love baking cookies . no , i am not . i work with dead people all the time . sure . . . i am heading back home to the country so i can enter a bake sale .",1
tiage_dial_041,9,16,"[5, 6]",102,"i am overweight , bake sales are not a good idea for me . i do not think we should be friends i did not realize we had to be . i just wanted to stop talking to you really then do not respond , no rule says you have to speak to everyone that says hello . rules ? what rules are you talking about dude , no cookies for you wow . you may want to see a therapist with all of that anger you have . i love cookies and bake sale but you are freaking me out .",1
tiage_dial_042,1,14,"[0, 1, 2, 3, 4, 5, 6]",123,"hey how are you doing tonight ? hi there , how are you ? doing good , watching friday , my favorite , and looking on indeed . i teach in the summers ? awesome ! maybe you could help my daughter , she is so smart . does she own dogs like me ? no we do not . we would not have time , with my busy schedule . i am a pediatrician i always go to church that is cool . what grade do you teach ? i hold an outdoor class oh wow ! what is it about ? i teach walking and hiking mostly so a gym teacher ? or trainer ? i do not really like labels",1
tiage_dial_042,15,16,"[6, 7]",20,well okay then lol i am not sure if that would be a label do you have any pets ?,1
tiage_dial_043,1,10,"[0, 1, 2, 3]",124,hi there how are you tonight ? well . better now that i am in remission . how are you ? wow well i am glad for you congrats my step mom is going through stage 4 so sorry to hear that . she is in my thoughts . thanks are you married ? any kids ? i have many kids and grandkids to keep me busy . how about you ? i have 2 kids with my spouse how wonderful . life is precious spend as much time with them as possible . yea but i love time to my self as well like every year i see rolling stones that sounds like fun . i enjoy making clothes for my family .,1
tiage_dial_043,11,16,"[3, 4]",71,really i use to dumpster dive to recycle clothes for homeless no lie helping others makes life meaningful and i cherish it more now . well now with my major in economics i love guiding people with there money too bad my cell phone broke . i would love to text you about my finances . o no yea i am always willing to help great we should exchange emails !,1
tiage_dial_044,1,12,"[0, 1, 2, 3, 4, 5]",124,"just got back from playing with barnaby , my dog ! i just watched snoop and martha cool , i deliver mail , and get a lot of martha catalogues ! i love to eat vegetables and unique things that is great , i like my food grey , the color i like on everything ! awesome , i just came here from another country wonderful , i hope there are no scorpions there , they scare me ! do you like adventure i do i like fast cars , nascar was what my father did ! awesome does he like to go to germany oh , of course , it is beautiful there ! maybe he can skydive to see a better view",1
tiage_dial_044,13,14,[5],21,ha ha ! that would be great ! you skydive ? i want to but no highest i got was rollercoasters,1
