,Unnamed: 0,dial_id,turn_id,role,utterance,topic_id,segmentation_label,da
10495,10495,dialseg711_dial_380,7,user,"Camarillo, please, tomorrow's forecast",1,0,
9226,9226,dialseg711_dial_332,15,user,Great! Have a nice day!,3,1,
16660,16660,dialseg711_dial_610,16,agent,Certainly. The Acorn Guest House is a moderately priced 4 star guesthouse on the north end of town. Would you like to reserve a room there?,2,0,
10371,10371,dialseg711_dial_376,8,agent,I have a blue honda with contact number 07255247278.,1,1,
11235,11235,dialseg711_dial_407,14,agent,The next train departs at 21:00. The price is 23.60 pounds per ticket. Can I book this train for you?,2,0,
9937,9937,dialseg711_dial_359,16,agent,What city should I get the weather information for?,3,0,
9416,9416,dialseg711_dial_340,4,agent,I can certainly help. Where are you departing from?,0,0,
18666,18666,dialseg711_dial_685,23,user,Can you give me the address and postcode as well?,2,0,
14066,14066,dialseg711_dial_516,33,user,"I'd prefer an unrated place, I don't need free parking or wifi, for what it's worth.",4,0,
8251,8251,dialseg711_dial_297,8,agent,The departure time is 13:38 and it arrives at 14:55. Would you like me to book it for you?,0,1,
13895,13895,dialseg711_dial_511,2,agent,Your dentist appointment is at 3 PM on Tuesday.,0,1,
12442,12442,dialseg711_dial_454,7,user,"I need a taxi from avalon to hamilton lodge at 19:30, please.",1,0,
341,341,dialseg711_dial_012,8,agent,trainID departure destination day leaveAt arriveBy price duration book (optional) TR8519 ely cambridge friday 05:35 05:52 4.40 pounds 17 minutes TR8510 ely cambridge friday 07:35 07:52 4.40 pounds 17 minutes TR3976 ely cambridge friday 09:35 09:52 4.40 pounds 17 minutes TR0212 ely cambridge friday 11:35 11:52 4.40 pounds 17 minutes TR0236 ely cambridge friday 13:35 13:52 4.40 pounds 17 minutes there is a sample,1,0,
8506,8506,dialseg711_dial_306,10,agent,Wonderful. Have a nice time. Can I reserve a taxi for you?,0,1,
12348,12348,dialseg711_dial_450,13,user,"When is the meeting, what is the agenda and who are attending?",2,0,
10933,10933,dialseg711_dial_397,5,user,Do you have one in the south that includes free parking?,1,0,
11794,11794,dialseg711_dial_428,17,user,I need to leave after 12:30! Give me all the necessary details please,3,0,
12550,12550,dialseg711_dial_458,9,user,"No, I just need to arrive by 15:00",1,0,
18559,18559,dialseg711_dial_681,26,agent,"You're booked in a grey Skoda, contact number 07960351382. Can I help you with something else today?",3,1,
14324,14324,dialseg711_dial_526,4,agent,"It will be raining on Monday, Saturday, and Sunday in Grand Rapids this week.",0,1,
3778,3778,dialseg711_dial_134,4,agent,"It will be cloudy on Wednesday and Thursday in Atheron, and on Friday in Downtown Chicago",1,0,
10545,10545,dialseg711_dial_382,9,user,How about just 1 night?,0,0,
17391,17391,dialseg711_dial_638,8,agent,Galleria serves european food and is in the moderate price range in the centre of town.,1,0,
7914,7914,dialseg711_dial_286,12,agent,There are no Latin American restaurants in the centre. Would you like information about a different style of food?,2,0,
2386,2386,dialseg711_dial_082,13,user,Is there another hotel available that will accommodate my stay?,1,0,
16147,16147,dialseg711_dial_593,5,user,show me the route to coffee shop,1,0,
10845,10845,dialseg711_dial_394,5,user,What is the address?,0,0,
3704,3704,dialseg711_dial_131,10,agent,Absolutely! The postcode is CB11JG.,1,1,
13391,13391,dialseg711_dial_492,15,user,"No, that's all I needed to know. Thank you.",1,0,
6714,6714,dialseg711_dial_240,10,agent,"No, the weather in Brentwood will be hot on Wednesday",2,0,
6955,6955,dialseg711_dial_250,8,agent,There is a Starbucks 4 miles away.,1,0,
11924,11924,dialseg711_dial_434,6,agent,You're welcome; drive carefully.,0,1,
8862,8862,dialseg711_dial_318,28,agent,Do you need any further assistance?,3,1,
7273,7273,dialseg711_dial_261,7,user,Sure. Do any of those have free parking?,1,0,
14142,14142,dialseg711_dial_519,13,user,"I am going to Cambridge from Leicester. And, yes, please book it for me.",2,0,
16248,16248,dialseg711_dial_597,14,agent,Booking completed! Booked car type : red bmw Contact number : 07276200225,3,0,
13052,13052,dialseg711_dial_479,7,user,I want a Moderate price range please.,1,0,
13618,13618,dialseg711_dial_500,9,user,I would like a restaurant in the centre and in the moderate price range.,1,0,
6545,6545,dialseg711_dial_234,25,user,"Hi, can you help me find a moderately priced 3-star accomadation?",4,0,
2255,2255,dialseg711_dial_077,12,agent,What is the address?,3,0,
2766,2766,dialseg711_dial_096,18,agent,cb18dw is their postcode.,1,1,
15055,15055,dialseg711_dial_551,43,user,"I'd like to make a reservation for Saturday at 11:45. And there has been a change in plans, I will be dining alone.",4,0,
15272,15272,dialseg711_dial_560,3,user,I would like to be picked up from golden house.,0,0,
17415,17415,dialseg711_dial_638,32,agent,"Train TR2547 arrives at Stansted Airport Thursday at 8:08. Travel time is 28 minutes, and you would leave at 7:40. Can I book it for you?",4,0,
14611,14611,dialseg711_dial_535,5,user,"Sure, may I have their address please?",0,0,
5071,5071,dialseg711_dial_179,28,agent,I recommend Worth House because it is in the cheap price range and has a high rating. Do you want me to book Worth House for you?,4,0,
15495,15495,dialseg711_dial_568,1,user,"Yeah, I'm looking for a room. Do you offer anything in the southern part of town?",0,0,
16307,16307,dialseg711_dial_599,29,user,Thanks set the GPS please.,4,0,
7425,7425,dialseg711_dial_267,7,user,What time and date do you have for my football activity?,2,0,
17569,17569,dialseg711_dial_644,12,agent,We have 5 locations that match your criteria. What area of town would you like it in?,3,0,
6790,6790,dialseg711_dial_242,27,user,"Mmm, no, I wanted some route with no traffic... Is it the only option?",4,0,
8917,8917,dialseg711_dial_321,7,user,I need the address for the Parkside police station.,1,0,
16010,16010,dialseg711_dial_586,22,agent,Do you want a cheap hotel or a cheap guesthouse?,4,0,
10992,10992,dialseg711_dial_398,30,agent,The contact number is: 07720856341.,4,0,
3615,3615,dialseg711_dial_127,27,user,I need a train that leaves on Wednesday with an arrival of 12:30.,4,0,
12321,12321,dialseg711_dial_449,8,agent,"The latest train arrives at 17:52 on a Wednesday, departs at 17:35 and the cost of the ticket is 4.40 pounds.",1,1,
15669,15669,dialseg711_dial_574,23,user,"Please book the Hamilton Lodge, for 6 people.",4,0,
3429,3429,dialseg711_dial_121,2,agent,Please give me the address and directions via the quickest route to the nearest gas station.,1,0,
11592,11592,dialseg711_dial_420,15,user,Hi I am looking to get some info on the aylesbray lodge guest house,2,0,
7386,7386,dialseg711_dial_265,26,agent,The postcode is cb41er. Can I help you with anything else?,2,0,
8280,8280,dialseg711_dial_298,5,user,"I am looking for the Addenbrookes Hospital, can you please help me?",1,0,
322,322,dialseg711_dial_011,11,user,I need a booking for 4 people.,1,0,
18242,18242,dialseg711_dial_670,3,user,I'm coming from sesame restaurant and bar.,0,0,
11591,11591,dialseg711_dial_420,14,agent,Their postcode is cb21su. Is there anything else you need help with today?,1,1,
9820,9820,dialseg711_dial_354,19,user,"West, if possible.",4,0,
11655,11655,dialseg711_dial_422,18,agent,"The Jesus Green Outdoor Pool is a swimmingpool on the north end of the city. We don't have any information regarding their entrance fee, but their phone number if 01223302579.",3,1,
7974,7974,dialseg711_dial_288,6,agent,doctor's appointment is on monday at 7pm,1,0,
3528,3528,dialseg711_dial_124,12,agent,"Okay, the route to Whole Foods located at 819 Alma Dr is 1 mile away with moderate traffic.",2,1,
7569,7569,dialseg711_dial_273,1,user,I need to book a train for Monday from Ely to Cambridge to arrive by 14:00 for 6 people.,0,0,
16372,16372,dialseg711_dial_601,34,agent,"I'm sorry there is no availability for 2 nights from Monday, would you like me to try a different date or a different hotel?",4,0,
2034,2034,dialseg711_dial_069,13,user,Which is the best one with the quickest route?,1,0,
6958,6958,dialseg711_dial_250,11,user,"Pick a route to avoid all heavy traffic and let's go there, thank you!",1,0,
17877,17877,dialseg711_dial_657,12,agent,"Hobsons House is a guesthouse in the west part of town, it is moderately priced with 3 stars, internet and parking. Would you like more information?",2,0,
878,878,dialseg711_dial_031,11,user,Thank you. Can I have the postcode?,1,0,
12872,12872,dialseg711_dial_472,9,user,Hi. I would like to book a taxi to the Chiquito Restaurant Bar. I will need to be picked up at the Ely Train Station.,2,0,
2698,2698,dialseg711_dial_093,22,agent,"Yes, Indian food! Very good. Would you like me to make a reservation?",3,1,
1346,1346,dialseg711_dial_046,18,agent,Okay thank you and have a great day!,1,1,
12434,12434,dialseg711_dial_453,19,user,What is the date and time of my doctor appointment?,4,0,
4463,4463,dialseg711_dial_157,18,agent,No problem,2,0,
10679,10679,dialseg711_dial_388,1,user,Hi! I would like to book a taxi that will take me to Pizza Hut Cherry Hinton. I will be departing from Parkside Pools.,0,0,
14374,14374,dialseg711_dial_528,10,agent,"Sorry, it was unavailable at that time. Perhaps you might want another day or a shorter stay?",1,0,
7671,7671,dialseg711_dial_276,29,user,What is the time of my swimming activity and who is attending?,4,0,
3105,3105,dialseg711_dial_109,4,agent,I was able to successfully book that for you. Your reference number is MXWS56BV. Is there anything else I can assist you with?,0,0,
13922,13922,dialseg711_dial_512,3,user,Which is the best college in the Centre and how can I contact them by phone?,0,0,
12357,12357,dialseg711_dial_450,22,agent,Your booking was successful and reference number is Q1P81Y9Z. Can I assist you with anything else?,3,0,
5749,5749,dialseg711_dial_203,26,agent,I have 8 options. Guesthouse for all of them. Do you have a price range preference?,3,0,
19095,19095,dialseg711_dial_701,15,user,Is that in the expensive price range?,3,0,
14682,14682,dialseg711_dial_537,26,agent,my lab appointment,4,0,
12035,12035,dialseg711_dial_438,12,agent,I need the arrival time,2,0,
14008,14008,dialseg711_dial_515,17,user,The centre will be fine. Thank you.,1,0,
200,200,dialseg711_dial_006,25,user,"I don't have a preference, actually. Which one do you recommend?",4,0,
1114,1114,dialseg711_dial_038,1,user,I need help finding a train leaving Cambridge after 20:45.,0,0,
12499,12499,dialseg711_dial_456,14,agent,"Unfortunately, I don't happen to show any restaurants that meet that criteria. Would you like me to try looking for a different price range or cuisine type?",2,0,
10581,10581,dialseg711_dial_383,15,user,"There is no traffic, so I will display those directions to those GPS now.",4,0,
10730,10730,dialseg711_dial_389,24,agent,We have the TR1028 leaving at 11:01. Does that work?,3,0,
18131,18131,dialseg711_dial_665,12,agent,Okay you've been rebooked into a grey toyota.,1,0,
1456,1456,dialseg711_dial_049,23,user,Can you please give me the written address as well?,4,0,
15528,15528,dialseg711_dial_569,8,agent,I would like to leave cambridge to bishops stortford,2,0,
11187,11187,dialseg711_dial_405,35,user,The contact number is 07062991767. Do you have any other questions?,4,0,
11771,11771,dialseg711_dial_427,24,agent,"The medical center in Cambridge is called Addenbrookes Hospital. It is located at Hills Road, in postalcode CB20QQ.",3,0,
3941,3941,dialseg711_dial_140,17,user,Where do you need the forecast for?,3,0,
14992,14992,dialseg711_dial_550,12,agent,When would you like to leave by?,2,0,
4400,4400,dialseg711_dial_155,2,agent,On Thursday will it be overcast in Exeter?,1,0,
15128,15128,dialseg711_dial_554,4,agent,What city would you like weather information for?,1,0,
9834,9834,dialseg711_dial_355,11,user,I want to leave after 05:00 please.,1,0,
13954,13954,dialseg711_dial_513,9,user,i AM looking for a train. The train should depart from Bournemouth and should leave on Sunday.,2,0,
7087,7087,dialseg711_dial_254,19,user,Thank you that is all I need.,4,0,
12994,12994,dialseg711_dial_477,3,user,I'm sorry. I gave you the wrong information. I need to leave from the Fitzwilliam Museum and arrive at Royal Standard by 07:45.,0,0,
7276,7276,dialseg711_dial_261,10,agent,"Absolutely. It is in Warkworth Terrace, postcode cb11ee.",1,1,
2167,2167,dialseg711_dial_074,10,agent,There is one hotel and 6 guesthouses in the east with free Internet. Do you prefer a certain price range?,1,0,
13360,13360,dialseg711_dial_491,12,agent,There are 21 hotels that meet your needs. Would you like to narrow it down by area or price range?,3,0,
828,828,dialseg711_dial_029,7,user,"Yes, I would like the address, postcode, and phone number.",2,0,
17001,17001,dialseg711_dial_623,26,agent,"Sorry about that - the Arbury Lodge guesthouse is, in fact, in my database. Your room is reserved, reference #N3CVYHHJ. Can I help with anything else today?",4,0,
2117,2117,dialseg711_dial_072,14,agent,We have 5 hotels that fit that description. What area of town do you prefer?,3,0,
16007,16007,dialseg711_dial_586,19,user,I would really like something expensive.,4,0,
17517,17517,dialseg711_dial_642,26,agent,What type of food would you like?,3,0,
5046,5046,dialseg711_dial_179,3,user,Brentwood please,0,0,
7051,7051,dialseg711_dial_253,11,user,Are you sure that didn't work? 8 people and 3 nights starting from monday?,1,0,
9050,9050,dialseg711_dial_326,9,user,I am looking to find a train. It needs to go to Cambridge and it has to leave on Monday.,2,0,
1959,1959,dialseg711_dial_067,6,agent,"Sure, we have many. Do you have a specific area you want to stay in?",1,0,
326,326,dialseg711_dial_011,15,user,I'm going to the nirala.,2,0,
7278,7278,dialseg711_dial_261,12,agent,I have a place called Philz that serves tea. Would you like more info?,2,0,
9958,9958,dialseg711_dial_360,15,user,"i really appreciate, thanks",2,0,
4590,4590,dialseg711_dial_162,7,user,I'm heading into Cambridge.,1,0,
3184,3184,dialseg711_dial_111,25,user,Will there be frost in Durham next week?,3,0,
8373,8373,dialseg711_dial_301,23,user,I need to leave from broughton house gallery,3,0,
12526,12526,dialseg711_dial_457,17,user,I would like to stay in a guesthouse.,2,0,
4847,4847,dialseg711_dial_170,29,user,I need to book a taxi going to sidney sussex college.,3,0,
18583,18583,dialseg711_dial_682,20,agent,thanks again for choosing us,2,1,
738,738,dialseg711_dial_025,16,agent,"What time would you like to be picked up from your start point, or dropped off at your destination?",3,0,
2112,2112,dialseg711_dial_072,9,user,Can you help me find The Fitzwilliam Museum?,2,0,
4706,4706,dialseg711_dial_166,5,user,I am going to allenbell,0,0,
3652,3652,dialseg711_dial_129,4,agent,Where do you need to be picked up?,1,0,
4342,4342,dialseg711_dial_152,23,user,"I'm looking for the information on a restaurant named Rajmahal, could you provide me their info?",3,0,
8394,8394,dialseg711_dial_302,12,agent,Would Cambridge Artworks be okay?,2,0,
10019,10019,dialseg711_dial_363,2,agent,"Sure, how about zizzi cambridge, they offer cheap Italian food in the town centre.",0,0,
218,218,dialseg711_dial_007,13,user,I need to schedule a taxi to da vinci pizzeria from tandoori palace.,2,0,
3068,3068,dialseg711_dial_107,23,user,"No, just need to make sure it includes free parking.",4,0,
13164,13164,dialseg711_dial_483,25,user,book a table for 8 people at 19:00 on wednesday.,4,0,
6228,6228,dialseg711_dial_221,4,agent,What price range are you looking for?,1,0,
4352,4352,dialseg711_dial_153,6,agent,"Absolutely. The Peking Restaurant is located at 10 Homerton Street, City Centre. Their postcode is cb28nx. Can I reserve you a table by chance?",0,0,
11309,11309,dialseg711_dial_410,10,agent,You are welcome. Do you need anything else?,0,1,
8568,8568,dialseg711_dial_308,4,agent,"Today in Mountain View is gonna be overcast with low of 40F, tomorrow it will be cloudy",0,1,
18063,18063,dialseg711_dial_663,6,agent,"OK, there should be a white Ford to pick you up. The contact number is 07251519275. Can I help you with anything else?",0,1,
3458,3458,dialseg711_dial_122,10,agent,That would be in the centre of town. I have two options for you. Gonville Hotel and University Arms Hotel. Would you like more info on one of those?,1,0,
2910,2910,dialseg711_dial_101,10,agent,Sure. Phone number to the hospital is 01223245151. Anything else?,2,1,
2214,2214,dialseg711_dial_075,23,user,Please give me the phone number and post code.,3,0,
18411,18411,dialseg711_dial_676,20,agent,Alex will be attending your tennis activity,4,0,
18267,18267,dialseg711_dial_670,28,agent,Unfortunately none of those places exist here. Any other preferences?,4,0,
257,257,dialseg711_dial_009,2,agent,What day will you be checking in?,0,0,
3571,3571,dialseg711_dial_126,5,user,Yes could you book me one seat at 17:45 on a Monday?,0,0,
1144,1144,dialseg711_dial_039,12,agent,It is a 2 star hotel. Would you like me to make those reservations?,0,1,
16993,16993,dialseg711_dial_623,18,agent,"Addenbrookes Hospital is located at Hills Rd, Cambridge. Is there a particular department you're looking for?",3,0,
18149,18149,dialseg711_dial_665,30,agent,Price is 13.28 pounds and the ride is 88 minutes. Shall I get you some tickets?,4,0,
12025,12025,dialseg711_dial_438,2,agent,There are several in that price range at the centre. What type of food would you like?,0,0,
11513,11513,dialseg711_dial_417,36,agent,Sure. A white Lexus will pick you up at 1:30 at Saffron Brasserie. The contact number is 07399627486. Is there anything else I can help with?,4,0,
466,466,dialseg711_dial_016,7,user,I want to make a booking at the alexander bed and breakfast.,1,0,
19029,19029,dialseg711_dial_698,17,user,Could you give me the phone number of the Marriott please?,3,0,
12863,12863,dialseg711_dial_471,22,agent,You have two meetings scheduled on the calendar. The first meeting is on the 13th at 11am with the vice president in conference room 100. The second meeting is at 4pm with management in conference room 50.,3,0,
3547,3547,dialseg711_dial_125,1,user,i want to find a hospital in town,0,0,
11042,11042,dialseg711_dial_400,24,agent,"Yes of course, their postcode is cb41da, and their address is 154 Chesterton road. Is there anything else that I can do for you today?",2,1,
16643,16643,dialseg711_dial_609,27,user,"Yes, please, and mark on the map a quick route for me",4,0,
8441,8441,dialseg711_dial_304,5,user,What is the address to the Comfort Inn?,0,0,
14046,14046,dialseg711_dial_516,13,user,could you please try one night,1,0,
115,115,dialseg711_dial_003,38,agent,It is italian food.,4,0,
2065,2065,dialseg711_dial_070,12,agent,Old schools is an architecture museum in the centre area. The admission is free. Would you like tickets?,3,0,
9887,9887,dialseg711_dial_357,10,agent,Could you tell me where you would like to go and be picked up from?,2,0,
17349,17349,dialseg711_dial_635,27,user,"Yes, please. the postcode address, and phone number.",4,0,
17922,17922,dialseg711_dial_658,23,user,I need to actually arrive by 19:15.,4,0,
9393,9393,dialseg711_dial_339,3,user,"Thank you, please pick a route with no traffic and let's go there!",0,0,
16826,16826,dialseg711_dial_616,21,user,am looking for a train it should leave on saturday and should go to cambridge,4,0,
16156,16156,dialseg711_dial_593,14,agent,reminder has been set,2,1,
11237,11237,dialseg711_dial_407,16,agent,How many tickets do you need?,2,0,
16934,16934,dialseg711_dial_621,5,user,today and tomorrow,0,0,
13260,13260,dialseg711_dial_488,1,user,"Hi, I'll be coming in to Cambridge and I'd like a place to stay. I'd like a guesthouse with free parking.",0,0,
5458,5458,dialseg711_dial_194,17,user,I'll also need the address please.,3,0,
18661,18661,dialseg711_dial_685,18,agent,"Yes, there are 3 Chinese restaurants that are in the cheap price range. I would recommend the Golden House. Would you like for me to book you a table?",2,0,
10219,10219,dialseg711_dial_370,12,agent,Sure thing. A blue honda has been booked. Contact number is 07835205390.,2,1,
7284,7284,dialseg711_dial_261,18,agent,And when would you like to leave?,3,0,
13741,13741,dialseg711_dial_504,9,user,"OK, could you please let me know what location I should look up data for?",2,0,
15608,15608,dialseg711_dial_572,22,agent,"The Parkside Police Station is located in postcode CB11JG at Parkside, Cambridge.",3,0,
2312,2312,dialseg711_dial_080,17,user,I am looking for a place to stay. The hotel should be in the cheap price range and should be in the north,2,0,
1288,1288,dialseg711_dial_044,9,user,"I'm looking to leave Friday after 21:15, if you could book me a reservation for that time period that would be great.",2,0,
15691,15691,dialseg711_dial_575,15,user,I'd like to arrive at Restaurant Two Two by 21:00 please.,2,0,
15673,15673,dialseg711_dial_574,27,user,Can you try the same parameters at another hotel?,4,0,
7524,7524,dialseg711_dial_271,8,agent,Booking was successful. Reference number is : LXZ3ERL8. Is there anything else I can assist you with?,0,1,
12135,12135,dialseg711_dial_442,7,user,I apologize this train is going to broxbourne from cambridge. for 3 people are you able to book that?,0,0,
16124,16124,dialseg711_dial_592,10,agent,"Have you in a gray Skoda, 07138317821 is the contact info.",1,0,
13103,13103,dialseg711_dial_481,8,agent,Yes.,1,1,
19266,19266,dialseg711_dial_707,22,agent,"Yes, Addenbrookes Hospital is in your area, would you like me to book you an appointment?",4,0,
313,313,dialseg711_dial_011,2,agent,I have a train leaving at 12:36 and arriving at 13:55. Is that ok?,0,0,
3532,3532,dialseg711_dial_124,16,agent,"I have narrowed it down to 4 options. I have 2 cheaper ones that are guesthouses, and 2 expensive hotels. Do you have a preference?",3,0,
5345,5345,dialseg711_dial_190,14,agent,Is there anything else I can help you with?,1,0,
13599,13599,dialseg711_dial_499,24,agent,There are a total of 15 restaurants that are cheap in the centre. Is there another type you would like to try?,3,0,
3474,3474,dialseg711_dial_122,26,agent,"Contact the Parkside, Cambridge police station at 01223358966.",4,0,
17437,17437,dialseg711_dial_639,22,agent,I'm sorry I can't find any world food restaurants located in the centre.,4,0,
12047,12047,dialseg711_dial_438,24,agent,"Yes, can I please have the reference number as well for the booking?",4,0,
5174,5174,dialseg711_dial_183,23,user,I'm departing from cherry hinton water play.,3,0,
1530,1530,dialseg711_dial_052,9,user,I'm are looking for a train. The train should leave on friday and should go to norwich,1,0,
18294,18294,dialseg711_dial_672,1,user,"Hi there, I'm looking for a train going to cambridge.",0,0,
3979,3979,dialseg711_dial_141,26,agent,I apologize for the mistake. I have booked six tickets for you and your party on the TR7802 train departing from Stevenage at 09:54 and arriving at Cambridge at 10:43.,3,0,
8158,8158,dialseg711_dial_293,28,agent,TR1975 leaves at 17:36 and arrives by 18:55. Is that okay?,3,0,
2516,2516,dialseg711_dial_087,13,user,What about on Friday?,2,0,
9619,9619,dialseg711_dial_346,34,agent,There are no results for a cheap hotel with free wifi in the centre area. Would you like to try a different area or guesthouse?,4,0,
17888,17888,dialseg711_dial_657,23,user,I am going to wandlebury country park.,3,0,
10462,10462,dialseg711_dial_379,2,agent,Ok. And where will the taxi be picking you up from?,0,0,
18150,18150,dialseg711_dial_665,31,user,"No, I'm not ready to book yet. Thanks for your help. I am all set.",4,0,
6887,6887,dialseg711_dial_247,18,agent,You're welcome. Call us again please!,2,1,
17002,17002,dialseg711_dial_624,1,user,I need some help finding a train. I'm going to Cambridge on Tuesday.,0,0,
15191,15191,dialseg711_dial_556,25,user,"Hi, I'd like to book a taxi leaving from Archway House, please.",4,0,
14493,14493,dialseg711_dial_531,25,user,I need to depart from Cambridge.,3,0,
18962,18962,dialseg711_dial_696,5,user,What about a restaurant that serves gastropub food?,0,0,
1290,1290,dialseg711_dial_044,11,user,I need 2 please.,2,0,
9564,9564,dialseg711_dial_345,11,user,Schedule a reminder about a doctor appointment with my mother at 11am on the 7th of this month.,1,0,
4993,4993,dialseg711_dial_176,20,agent,"I have booked the table for Sunday, the reference number is 1XGV4VGP. Is there anything else I can help you with today?",4,0,
15611,15611,dialseg711_dial_572,25,user,I'd like to visit a museum in town. What can you suggest?,4,0,
4540,4540,dialseg711_dial_160,7,user,"Yes, please send me the address.",1,0,
10441,10441,dialseg711_dial_378,15,user,Could you tell me what the price of this trip is?,1,0,
11517,11517,dialseg711_dial_418,4,agent,The phone number is 01223367755. Is there anything else I can help you with?,1,0,
484,484,dialseg711_dial_016,25,user,Yes that's fine. Please set the GPS.,3,0,
1182,1182,dialseg711_dial_040,14,agent,we have vue cinema,1,0,
5547,5547,dialseg711_dial_196,34,agent,there is the reference number TR4106,3,0,
10999,10999,dialseg711_dial_399,5,user,is it going to rain at all this upcoming week,1,0,
936,936,dialseg711_dial_033,5,user,Thank you so much.,0,0,
9623,9623,dialseg711_dial_346,38,agent,"Yes, it is cheap, do you need a booking, or just information?",4,0,
8351,8351,dialseg711_dial_301,1,user,I need help finding an expensive place to eat in the west please.,0,0,
11900,11900,dialseg711_dial_433,14,agent,I can assist you. What is your destination and departure time?,2,0,
18306,18306,dialseg711_dial_672,13,user,"Yes, please book for 2 people./",0,0,
2519,2519,dialseg711_dial_087,16,agent,Oh dear I am sorry to hear that. I can get you the phone number for Parkside Police Station if you would like?,3,0,
3633,3633,dialseg711_dial_128,13,user,I'm looking for a cheap place to dine that serves danish food.,2,0,
13844,13844,dialseg711_dial_508,27,user,I'd like a train to Leicester to arrive by 9:45.,3,0,
15665,15665,dialseg711_dial_574,19,user,I need to find a guesthouse with a 3 star rating,4,0,
1272,1272,dialseg711_dial_043,23,user,I need to be in Cambridge on Monday please.,3,0,
9209,9209,dialseg711_dial_331,30,agent,The autumn house is a cheap four star guesthouse that has wifi and parking in the east area. Would you like to make a reservation?,4,0,
5761,5761,dialseg711_dial_204,2,agent,For what city would you like the temperature for?,0,0,
14585,14585,dialseg711_dial_534,9,user,Can you tell me what the total travel time for that is?,0,0,
19131,19131,dialseg711_dial_702,21,user,How about the center? I need a reservation for 8 people at 14:15 on a Friday.,3,0,
7780,7780,dialseg711_dial_281,14,agent,Was there anything else I could assist you with today?,1,1,
11200,11200,dialseg711_dial_406,13,user,i want to book a taxi.,3,0,
7803,7803,dialseg711_dial_282,9,user,Do you have the phone number there?,1,0,
15225,15225,dialseg711_dial_558,9,user,"I would like for a taxi to take me to london liverpool street train station, arriving no later than 17:45 please",1,0,
5758,5758,dialseg711_dial_203,35,user,"8, please",4,0,
2932,2932,dialseg711_dial_102,12,agent,"I'm so sorry, but I was unable to book per your request. Would you like to try a shorter stay or a different date?",1,0,
17443,17443,dialseg711_dial_639,28,agent,I have you booked for 7 at little seoul on tuesday at 10:15. Here is the reference number for your booking: KAHFBHYI.,4,0,
17927,17927,dialseg711_dial_659,2,agent,There is 1 guesthouse and 1 hotel that are cheap on the west side. Which one do you prefer?,0,0,
7646,7646,dialseg711_dial_276,4,agent,A red lexus will pick you up by 21:00. Your contact number is 07323820078.,0,0,
2512,2512,dialseg711_dial_087,9,user,I would like to stay in the east.,2,0,
7463,7463,dialseg711_dial_268,27,user,"Wonderful, thanks very much!",4,0,
8349,8349,dialseg711_dial_300,25,user,"Yes please. I'll need the address, postcode, and whether they have internet also.",4,0,
15497,15497,dialseg711_dial_568,3,user,I am looking for something in the moderate price range with free wifi and doesn't need to have free parking.,0,0,
12705,12705,dialseg711_dial_465,7,user,"Hi, I need a tax to queens' college please.",1,0,
